,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12510,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19970525.0,19970525.0,False,1784725242625.7,,1,,,,2026-01-02T13:34:00.000Z,89367.9681743819,27738004025.048023,-2.5432,0.02409819,1.74530135,0.65658965,-4.0093416,-17.19547525,-26.98983906,1784725242625.698,58.8466,1876727331662.02,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
1,1027,Ethereum,ETH,ethereum,11334,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120694892.55857356,120694892.55857356,True,367968949644.78,,2,,,,2026-01-02T13:34:00.000Z,3048.753280642785,15004909740.460314,8.6878,0.04503934,2.33031342,2.39857049,-1.4357856,-18.0283385,-32.3006302,367968949644.7796,12.1328,367968949644.78,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
2,825,Tether USDt,USDT,tether,164836,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,187101343451.70065,189851513995.835,True,189680312561.25,,3,,,,2026-01-02T13:34:00.000Z,0.9990982350839465,65803822041.442535,4.718,0.0197792,0.05724365,-0.04384324,-0.11556796,-0.0937639,-0.13286419,186932622024.4294,6.1636,189680312561.25,,2026-01-02T13:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-02 13:36:01.529495
3,1839,BNB,BNB,bnb,3040,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",137734512.59,137734512.59,137734512.59,False,119893794779.23,,4,,,,2026-01-02T13:34:00.000Z,870.470243983959,1647678991.502692,-22.2523,0.16809023,1.37064756,3.40481011,-3.68189189,-14.36518207,-24.15865522,119893794779.22897,3.9532,119893794779.23,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
4,52,XRP,XRP,xrp,1777,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60676393849.0,99985734415.0,False,190021545541.26,,5,,,,2026-01-02T13:34:00.000Z,1.9004865709397643,1797761931.5233123,-8.0345,0.34749996,2.50624117,1.44590431,-12.7192564,-21.19534859,-36.64908668,115314671683.07661,3.8022,190048657093.98,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
5,3408,USDC,USDC,usd-coin,35947,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,75238190448.38695,75238190448.38695,False,75223385686.34,,6,60901219650.23,60889236001.23578,,2026-01-02T13:34:00.000Z,0.9998032280952163,7044315066.111154,-7.9831,0.0094681,0.01443689,-0.03792801,-0.0150699,-0.01908002,0.01768141,75223385686.33994,2.4803,75223385686.34,,2026-01-02T13:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-01-02 13:36:01.529495
6,5426,Solana,SOL,solana,1070,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,563155444.4284632,617409239.2990017,True,79244844830.62,,7,525236893.3,67414469139.03392,,2026-01-02T13:34:00.000Z,128.35059760459123,3200747261.225605,-4.0506,0.34979507,2.74977102,3.49923194,-9.48801396,-27.10874821,-44.00108999,72281337836.67242,2.3833,79244844830.62,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
7,1958,TRON,TRX,tron,1273,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94695156045.58687,94695155429.40906,True,26968106157.4,,8,94667886298.43,26960340218.202297,,2026-01-02T13:35:00.000Z,0.28478865719271285,439251318.82754683,6.1331,0.01180026,0.22485992,2.28473405,1.58505234,-2.25463902,-16.41750798,26968106332.877087,0.8892,26968106157.4,,2026-01-02T13:35:00.000Z,,,,,,2026-01-02 13:36:01.529495
8,74,Dogecoin,DOGE,dogecoin,1363,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168149723126.57907,168149723126.57907,True,22170060588.34,,9,,,,2026-01-02T13:34:00.000Z,0.13184714298725475,2124553674.8405862,77.5096,1.44899974,9.21324206,4.84961554,-11.99097079,-24.45331203,-47.50905224,22170060588.337368,0.731,22170060588.34,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
9,2010,Cardano,ADA,cardano,1656,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,35943276887.330574,44994348263.84309,False,16401087929.33,,10,37997904336.0,13850783358.177866,,2026-01-02T13:35:00.000Z,0.3645144015233321,631481986.193687,1.216,0.97740353,7.05281892,2.28122759,-16.40463287,-36.66626906,-56.97784175,13101842063.372719,0.432,16403148068.55,,2026-01-02T13:35:00.000Z,,,,,,2026-01-02 13:36:01.529495
